rsi,macd,sma_short,sma_long,volume,label
50.0,0.0,0.019961,0.019961,0.0,0
50.0,0.0,0.57415,0.57415,0.0,1
50.0,0.0,5.7192,5.7192,0.0,1
50.0,0.0,120.79,120.79,0.0,0
50.0,0.0,2.6152,2.6152,0.0,0
50.0,0.0,0.58005,0.58005,0.0,0
50.0,0.0,5.4552,5.4552,0.0,0
50.0,0.0,0.33549,0.33549,0.0,0
50.0,0.0,5.2442,5.2442,0.0,1
50.0,0.0,0.18801,0.18801,0.0,1
50.0,0.0,5.2739,5.2739,0.0,0
50.0,0.0,2.508118632258811,2.508118632258811,0.0,0
50.0,0.0,12.736331823007864,12.736331823007864,0.0,0
50.0,0.0,12.973215870732345,12.973215870732345,0.0,0
50.0,0.0,5.1459,5.1459,0.0,0
50.0,0.0,0.1803045657433048,0.1803045657433048,0.0,0
50.0,0.0,2.03,2.03,0.0,1
50.0,0.0,144.62532972617643,144.62532972617643,0.0,0
50.0,0.0,0.2604347991229231,0.2604347991229231,0.0,1
50.0,0.0,5.1396,5.1396,0.0,1
50.0,0.0,0.4808020664278696,0.4808020664278696,0.0,1
50.0,0.0,0.27043029164229243,0.27043029164229243,0.0,1
50.0,0.0,1.9670443950497487,1.9670443950497487,0.0,0
50.0,0.0,5.319010207466117,5.319010207466117,0.0,1
50.0,0.0,0.47612,0.47612,0.0,1
50.0,0.0,1.6083382017709522,1.6083382017709522,0.0,1
50.0,0.0,1.9462,1.9462,0.0,1
50.0,0.0,1.85794,1.85794,0.0,1
50.0,0.0,0.12554,0.12554,0.0,0
50.0,0.0,11.076,11.076,0.0,1
50.0,0.0,12.165,12.165,0.0,1
50.0,0.0,1.8939911071191176,1.8939911071191176,0.0,1
50.0,0.0,2.3178370445033787,2.3178370445033787,0.0,0
50.0,0.0,11.539,11.539,0.0,1
50.0,0.0,1.6384,1.6384,0.0,1
50.0,0.0,1.9019,1.9019,0.0,1
50.0,0.0,2.008,2.008,0.0,1
50.0,0.0,11.635,11.635,0.0,0
50.0,0.0,1.6721,1.6721,0.0,0
50.0,0.0,122.01,122.01,0.0,0
50.0,0.0,1.9275,1.9275,0.0,0
50.0,0.0,1.87827,1.87827,0.0,1
50.0,0.0,1.9785,1.9785,0.0,0
50.0,0.0,12.85,12.85,0.0,0
50.0,0.0,0.12281,0.12281,0.0,0
50.0,0.0,118.59,118.59,0.0,1
50.0,0.0,0.11977,0.11977,0.0,1
50.0,0.0,2.1043,2.1043,0.0,0
50.0,0.0,1.5845,1.5845,0.0,0
50.0,0.0,1.89438,1.89438,0.0,0
50.0,0.0,5.3338,5.3338,0.0,0
50.0,0.0,0.27919,0.27919,0.0,0
50.0,0.0,11.156,11.156,0.0,0
50.0,0.0,1.82638,1.82638,0.0,0
50.0,0.0,1.8279,1.8279,0.0,0
50.0,0.0,1.4758,1.4758,0.0,0
50.0,0.0,0.11409,0.11409,0.0,0
50.0,0.0,1.955,1.955,0.0,0
50.0,0.0,107.3,107.3,0.0,1
50.0,0.0,1.7532,1.7532,0.0,1
50.0,0.0,4.9241,4.9241,0.0,1
50.0,0.0,11.464,11.464,0.0,1
50.0,0.0,1.80376,1.80376,0.0,1
50.0,0.0,0.25849,0.25849,0.0,1
50.0,0.0,1.85047673817435,1.85047673817435,0.0,1
50.0,0.0,1.9429932547951434,1.9429932547951434,0.0,1
50.0,0.0,0.12055893918109932,0.12055893918109932,0.0,1
50.0,0.0,0.5446887552532795,0.5446887552532795,0.0,1
50.0,0.0,0.13807,0.13807,0.0,1
50.0,0.0,90378.48245983513,90378.48245983513,0.0,0
50.0,0.0,3401.440288584774,3401.440288584774,0.0,0
50.0,0.0,11.817508040363347,11.817508040363347,0.0,1
50.0,0.0,1.8916642957618044,1.8916642957618044,0.0,0
50.0,0.0,0.2238786270682934,0.2238786270682934,0.0,0
50.0,0.0,12.070071295162444,12.070071295162444,0.0,1
50.0,0.0,90378.48245983513,90378.48245983513,0.0,0
