market,amount,planned_price,profit,timestamp,score
MORPHO-EUR,6.012415650753138,1.5857819999999998,-9.630687389376376,1759612699.5890734,55.3091884541161
MORPHO-EUR,6.012415650753138,1.5857819999999998,-9.630687389376376,1759612699.5890734,55.3091884541161
AGLD-EUR,19.49639702100433,0.4888818,-9.627710776912359,1759590557.386722,55.177325252877594
AGLD-EUR,19.49639702100433,0.4888818,-9.627710776912359,1759590557.386722,55.177325252877594
RLC-EUR,10.712457857913046,0.8985438,-9.722841000999038,1759602371.4673142,55.17003442042183
RLC-EUR,10.712457857913046,0.8985438,-9.722841000999038,1759602371.4673142,55.17003442042183
POWR-EUR,73.8236416946435,0.1222254,-9.114266803620687,1759590643.0331419,55.14749677943288
POWR-EUR,73.8236416946435,0.1222254,-9.114266803620687,1759590643.0331419,55.14749677943288
CROSS-EUR,49.46571761515394,0.1882485,-9.405906204521523,1759610427.0560374,55.09943661932694
CROSS-EUR,49.46571761515394,0.1882485,-9.405906204521523,1759610427.0560374,55.09943661932694
CPOOL-EUR,80.3633822501747,0.1133352,-9.2,1759590725.7607517,54.99636617749825
CPOOL-EUR,80.3633822501747,0.1133352,-9.2,1759590725.7607517,54.99636617749825
SUI-EUR,3.334852539331974,2.974653,-10.020231424930783,1759614776.3060899,54.94642004967589
SUI-EUR,3.334852539331974,2.974653,-10.020231424930783,1759614776.3060899,54.94642004967589
RAY-EUR,4.132393356952177,2.4073830000000003,-10.048740926100608,1759622965.0612652,54.90993514032987
RAY-EUR,4.132393356952177,2.4073830000000003,-10.048740926100608,1759622965.0612652,54.90993514032987
GOAT-EUR,120.75115004128904,0.07286103,-8.886922389588749,1759590659.6582956,54.90556610999836
GOAT-EUR,120.75115004128904,0.07286103,-8.886922389588749,1759590659.6582956,54.90556610999836
ONG-EUR,70.68107529108332,0.13181849999999998,-9.411185175007743,1759595348.4169128,54.88200407208142
ONG-EUR,70.68107529108332,0.13181849999999998,-9.411185175007743,1759595348.4169128,54.88200407208142
TRX-EUR,34.48733084993381,0.28733759999999997,-10.00960290588479,1759600535.2908711,54.64552378561587
TRX-EUR,34.48733084993381,0.28733759999999997,-10.00960290588479,1759600535.2908711,54.64552378561587
KAIA-EUR,74.84742875901046,0.12793770000000002,-9.672533218526922,1759592457.8338366,54.57899249388297
KAIA-EUR,74.84742875901046,0.12793770000000002,-9.672533218526922,1759592457.8338366,54.57899249388297
BIO-EUR,82.0566936681088,0.1164339,-9.650687742306276,1759625089.251745,54.528745321012636
BIO-EUR,82.0566936681088,0.1164339,-9.650687742306276,1759625089.251745,54.528745321012636
HAEDAL-EUR,88.25641946489495,0.11026620000000001,-9.83,1759592449.711137,54.28743580535105
HAEDAL-EUR,88.25641946489495,0.11026620000000001,-9.83,1759592449.711137,54.28743580535105
SPK-EUR,205.93787671814005,0.04359564,-9.068680339160014,1759594103.0974054,53.87194089365859
SPK-EUR,205.93787671814005,0.04359564,-9.068680339160014,1759594103.0974054,53.87194089365859
