market,entry_price,exit_price,profit,label,timestamp,close_timestamp,rsi,macd,sma,volume
MOODENG-EUR,0.062291,0.062847,0.0217,1,1765987527.9305162,0,50.0,0.0,0.062291,0.0
THQ-EUR,0.05808814978485871,0.0,0.0,0,1766032511.3469427,0,50.0,0.0,0.05808814978485871,0.0
SHIB-EUR,6.613475817562503e-06,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,6.613475817562503e-06,0.0
DYDX-EUR,0.15098722831666553,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,0.15098722831666553,0.0
XRP-EUR,1.7000964235054212,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,1.7000964235054212,0.0
LINK-EUR,11.718037991648519,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,11.718037991648519,0.0
ENA-EUR,0.18076755934573085,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,0.18076755934573085,0.0
COTI-EUR,0.018703813917441546,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,0.018703813917441546,0.0
APT-EUR,1.3267816567253976,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,1.3267816567253976,0.0
MOODENG-EUR,0.061454782437594856,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,0.061454782437594856,0.0
FET-EUR,0.17877894758841573,0.0,0.0,0,1766150900.6472807,0,50.0,0.0,0.17877894758841573,0.0
FET-EUR,0.17585438983970417,0.1774,0.0113,1,1766160044.8048878,0,50.0,0.0,0.17585438983970417,0.0
MOODENG-EUR,0.06082671080918695,0.061828,0.7178,1,1766173594.2362556,0,50.0,0.0,0.06082671080918695,0.0
ENA-EUR,0.18071839672548823,0.18276,0.0797,1,1766219273.9016187,0,50.0,0.0,0.18071839672548823,0.0
APT-EUR,1.2833285464643958,1.3804,0.7113,1,1766236663.639749,0,50.0,0.0,1.2833285464643958,0.0
THQ-EUR,0.038305447246323086,0.03906,0.7988,1,1766264851.2092047,0,50.0,0.0,0.038305447246323086,0.0
SOPH-EUR,0.01367363996780897,0.013797,0.0739,1,1766264926.149717,0,50.0,0.0,0.01367363996780897,0.0
THQ-EUR,0.03734148832234631,0.038638,4.2198,1,1766326492.6154594,0,50.0,0.0,0.03734148832234631,0.0
MOODENG-EUR,0.060780952381508095,0.061342,0.1194,1,1766334475.1201441,0,50.0,0.0,0.060780952381508095,0.0
MOODENG-EUR,0.06119398496906834,0.061849,0.2661,1,1766337605.468424,0,50.0,0.0,0.06119398496906834,0.0
ANIME-EUR,0.005992781713674693,0.0061026,1.5378,1,1766370979.7531056,0,50.0,0.0,0.005992781713674693,0.0
